Contract Number,Contractor                       Name,Short                                  Description,Full                                                       Description,Contract Status,Contract Type,Contract Entered,Contract                Expiration,Contract Amendments,Last                             Amendment,Original                                 Amount,Contract                                           Total,Managing                                                    Division
008513,ISI TELEMANAGEMNT SOLUTION INC,"CALL ACCOUNTING UPGRADE, SERVER MIGRATION AND MAINTENANCE.","Upgrade to call accounting and reporting software, server migration and renewals for maintenance and support.",A,web/tech,06/01/2017,06/30/2020,0,,"8,182.00","8,182.00",Information Technology
008520,ALL PRO COMMUNICATION,PROVIDE FIBER CABLING SERVICES FOR CITY FACILITIES,Provide fiber cabling services at City facilities.,A,web/tech,06/07/2017,03/31/2020,0,,"75,000.00","75,000.00",Information Technology
008521,GA TECHNICAL SERVICES INC,PROVIDE DATA AND FIBER CABLING SERVICES,"Provide data, communications and fiber cabling services at City facilities.",A,web/tech,06/07/2017,03/31/2020,0,,"75,000.00","75,000.00",Information Technology
008524,WILMES LLC,DEVELOP SAFETY PROGRAMS,"Develop and finalize written safety programs, perform staff safety training, assist with risk assessments.  Compensation not to exceed $20,000. in one fiscal year.",A,profsvcs,06/12/2017,06/30/2021,1,06/04/2019,"40,000.00","40,000.00",Finance Administration
008526,FOUNDATION FOR AIDS MONUMENT,REVISED AND RESTATED MOU FOR THE AIDS MONUMENT,Revised and restated MOU for the AIDS Monument including budget allocation for development costs and potential capital improvement contributions.,A,profsvcs,06/12/2017,01/01/3000,0,,"1,106,000.00","1,106,000.00",Planning & Development Services Administration
008531,"CUTELLI, NICK",VIDEO NEWS REPORTING,"Video news reporting for WeHo TV cable, digital and social media channels.  Compensation not to exceed $25,000. in one fiscal year.",A,profsvcs,06/13/2017,06/30/2020,0,,"75,000.00","75,000.00",Communications Administration
008533,POST ALARM SYSTEMS,ALARM SYSTEM INSTALLATION AND SERVICE,Alarm systems installation and service at City buildings.,A,profsvcs,06/13/2017,06/30/2021,1,05/21/2019,"25,000.00","25,000.00",Facilities & Field Services
008535,NEW HORIZONS CLC OF SO. CAL,"ON SITE STAFF TRAINING IN WORD, EXCEL AND CYBER SECURITY","On site staff training in Word, Excel, related applications and Cyber Security.  Not to exceed $25,000. per fiscal year over three year agreement.",A,web/tech,06/13/2017,04/30/2020,0,,"75,000.00","75,000.00",Information Technology
008547,"SMIGHT, DANIEL D",VIDEOGRAPHY PRODUCTION SERVICES,Videography services,A,profsvcs,06/16/2017,06/30/2020,1,11/27/2017,"10,000.00","25,000.00",Communications Administration
008553,UNITRONICS INC,SERVICES AND MAINTENANCE AUTOMATED PARKING GARAGE,Services and maintenance agreement for automated parking garage.,A,profsvcs,06/20/2017,03/17/2027,0,,"1,006,341.00","1,006,341.00",Parking
008555,MIKE CIRIACO INC,VIDEO NEWS REPORTING,Video news reporting,A,profsvcs,06/20/2017,06/30/2020,2,06/26/2019,"25,000.00","75,000.00",Communications Administration
008566,FEHR & PEERS,TRAFFIC AND TRANSPORTATION STUDIES,For traffic and transportation studies including Transportation Demand Management (TDM) program,A,profsvcs,06/21/2017,06/30/2021,1,07/08/2019,"507,210.00","507,210.00",Long Range Planning
008567,HDL SOFTWARE LLC,UPDATE RENT STABILITZATION SOFTWARE PROGRAM AND DATABASE,"Update to Rent Stabilization software and database.  Compensation:  $153,100. one time costs.  Annual software use fee is $7,000 per year adjusted CPI.  Software hosting services are $750. per quarter.
-",A,profsvcs,06/22/2017,06/30/2020,1,04/22/2019,"153,600.00","153,600.00",Rent Stabilization & Housing
008570,GOURMET COFFEE SERVICE,"PROVIDE COFFEE, TEA, FILTERED WATER TO CITY FACILITIES","Three year agreement to provide coffee, tea, filtered water to City facilities and parks.  Cost will be approximately $135,000 over the contract period, approx. $45,000. per year.",A,profsvcs,06/23/2017,07/09/2020,0,,"135,000.00","135,000.00",Finance Administration
008571,NFP RETIREMENT INC,"STUDY OF DEFERRED COMP PLANS, FEES AND PROCEDURES., WORK ON RFP.","Conduct a study of City's deferred compensation plans, fees and procedures.  Issue an RFP, analyze respons proposals and provide recommendation.",A,profsvcs,06/26/2017,06/30/2024,2,05/21/2019,"25,000.00","112,500.00",Human Resources
008573,JFS/HOMEMAKER & COMM CNTR PROG,RECEPTIONIST AT PLUMMER PARK,Provide receptionist desk services at Comprehensive Services Center at Plummer Park.,A,profsvcs,06/27/2017,06/30/2020,2,06/20/2019,"45,000.00","135,000.00",Recreation Services
008575,ORKIN SERVICES OF CALIFORNIA,ERADICATE PEST INFESTATION AT LIBRARY,Eradicate pest infestation at West Hollywood Library.,A,zgovpurag,06/27/2017,06/30/2022,0,,"189,244.00","189,244.00",Facilities & Field Services
008576,PLANETBIDS INC,HOSTED EBIDDING PROCUREMENT SYSTEM,"Hosted ebidding procurement system for vendor and bid management, including vendor registration, posting and tracking.",A,profsvcs,06/27/2017,06/30/2020,0,,"25,750.00","25,750.00",Public Works Administration
008582,LA CO/HEALTH DEPARTMENT,PROVIDE INSPECTION FOR MASSAGE ESTABLISHMENTS,Provide inspections for massage establishments located in West Hollywood.   See agreement for inspection rates.,A,profsvcs,06/28/2017,06/30/2022,0,,"4,000.00","4,000.00",Code Compliance
008583,AMERICAN GTS INC,OPERATION OF THE PICK UP SHUTTLE SERVICE,Operation of The PickUp shuttle service.,A,profsvcs,06/28/2017,06/30/2020,1,11/07/2018,"1,660,000.00","1,700,000.00",Social Services
008584,VITAC,REAL-TIME CAPTIONING FOR CITY MEETINGS AND EVENTS,"Real-time captioning for City meetings and special events.  Compensation not to exceed $25,000. per fiscal year.",A,profsvcs,06/28/2017,06/30/2020,2,08/12/2019,"25,000.00","75,000.00",Communications Administration
008585,INSIGHT STRUCTURAL ENGINEERS,STRUCTURAL ENGINEERING AT CITY PROPERTIES,Structural engineering services at City owned properties including 1343 Laurel Avenue.,A,profsvcs,06/28/2017,06/30/2020,1,06/04/2018,"25,000.00","25,000.00",Facilities & Field Services
008587,"SAAED, JAMILA",GRAPHIC DESIGN,Graphic design and related services.,A,profsvcs,06/28/2017,06/30/2020,0,,"105,000.00","105,000.00",Communications Administration
008588,"MOORE, JONATHAN J",PHOTOGRAPHER,Photographer services on as needed basis.,A,profsvcs,06/28/2017,06/30/2020,0,,"105,000.00","105,000.00",Communications Administration
008589,"OCONNELL, ROBIN GHELERTER",GRAPHIC DESIGN,Graphic design and related services.,A,profsvcs,06/28/2017,06/30/2020,0,,"60,000.00","60,000.00",Communications Administration
008590,SYMBLAZE INC,GRAPHIC DESIGN,Graphic design and related services.,A,profsvcs,06/28/2017,06/30/2020,0,,"105,000.00","105,000.00",Communications Administration
008591,BUMPERCAR INC,GRAPHIC DESIGN,Graphic design and related services.,A,profsvcs,06/28/2017,06/30/2020,0,,"60,000.00","60,000.00",Communications Administration
008592,"PIETRAS, JAMES",GRAPHIC DESIGN,Graphic design and related services.,A,profsvcs,06/28/2017,06/30/2020,0,,"105,000.00","105,000.00",Communications Administration
008593,POP THE PIXEL LLC,GRAPHIC DESIGN,Graphic design and related services.,A,profsvcs,06/28/2017,06/30/2020,0,,"60,000.00","60,000.00",Communications Administration
008594,"GOETZ, GRETCHEN GOLDIE",GRAPHIC DESIGN,Graphic design and related services.,A,profsvcs,06/28/2017,06/30/2020,0,,"105,000.00","105,000.00",Communications Administration
008595,PARAGON MEDIA GROUP INC,VIDEOGRAPHY,Videography on an as-needed basis.,A,profsvcs,06/28/2017,06/30/2020,0,,"60,000.00","60,000.00",Communications Administration
008596,"SHANNAHOFF, JOANNE",GRAPHIC DESIGN,Graphic design and related services.,A,profsvcs,06/28/2017,06/30/2020,0,,"105,000.00","105,000.00",Communications Administration
008598,GRANICUS LLC,WEBSITE DESIGN AND HOSTING,"Website design, hosting services and content management system.  Five year agreement, not to exceed $25,000. per fiscal year.",A,profsvcs,06/29/2017,06/30/2022,1,06/25/2019,"64,601.00","64,601.00",Communications Administration
008599,HDL COREN & CONE,"PROPERTY TAX ANALYSIS, RECOVERY AUDITS","Property tax management services including monitoring, reconcilation, analysis and planning.",A,profsvcs,06/29/2017,06/30/2020,0,,"40,500.00","40,500.00",Revenue Management
008600,HINDERLITER DE LLAMAS ASSOC,"SALES TAX DATA ANALYSIS, REPORT AND AUDIT MGMT","Sales tax analysis, report generation, audit management.  Compensation is $7,800. per year for three year period adjusted by CPI for LA/Urban area, not to exceed 2%.   Additional compensation will equal 15% of all additional sales tax revenues recovered thru audit process.",A,profsvcs,06/29/2017,06/30/2020,0,,"23,400.00","23,400.00",Revenue Management
008603,BRILLIANT CORNERS,EXPAND RAPID REHOUSING FOR HOMELESS,Expand rapid rehousing for homeless individuals.,A,profsvcs,06/30/2017,06/30/2020,0,,"25,000.00","25,000.00",Social Services
008606,OCEAN BLUE ENVIRNMNTL SVCS INC,"BATTERY PICK UP, RECYCLING AND DISPOSAL","Household battery pick up, recycling and disposal.",A,profsvcs,07/03/2017,06/30/2021,2,01/25/2019,"25,000.00","50,000.00",Engineering
008607,JFS/HOME SECURE PROGRAM,GRANT FOR HOME SECURE PROGRAM,Grant for Home Secure program.,A,grants,07/03/2017,09/30/2019,1,06/14/2019,"50,000.00","50,000.00",Rent Stabilization & Housing
008608,"STANLEY, TYLER G",VIDEOGRAPHY SERVICES,"Videography services.  Contract amount is $105,000. over the three year agreement, not to exeed $35,000. in any one fiscal year.",A,profsvcs,07/06/2017,06/30/2020,0,,"105,000.00","105,000.00",Communications Administration
008610,CUBIC TRANSPORTATION SYSTEMS,REAL TIME VEHICLE TRACKING FOR CITY FIXED ROUTE TRANSPORTATION,"Real time vehicle tracking and arrival predictions for City fixed-route transportation services (CityLine, City LineX and The PickUp)  Vendor number changed, see supplemental.  NextBus V#323568 was changed to Cubic Transporation Systems V#327622.  W9 on file.",A,profsvcs,07/06/2017,06/30/2021,3,07/05/2018,"15,000.00","116,500.00",Social Services
008611,WEST COAST ARBORISTS INC,TREE TRIMMING AND RELATED SERVICES,"For tree trimming, stump removal, installations and maintenance, includes emergency services.",A,pworks,07/06/2017,06/30/2023,0,,"4,027,000.00","4,027,000.00",Facilities & Field Services
008614,VISCOTT LIMITED,PHOTOGRAPHERS SERVICES,"For photographers services. Three year agreement, as-needed basis, not to exceed $35,000. per year.",A,profsvcs,07/07/2017,06/30/2020,0,,"105,000.00","105,000.00",Communications Administration
008615,"COELHO, TONY C",PHOTOGRAPHY SERVICES,"Photographers services as required.  Not to exceed $35,000. per fiscal year.",A,profsvcs,07/07/2017,06/30/2020,0,,"105,000.00","105,000.00",Communications Administration
008616,SADOFOTO,PHOTOGRAPHERS SERVICES,"Photographers services as required.  Compensation not to exceed $20,000. per fiscal year.",A,profsvcs,07/07/2017,06/30/2020,0,,"60,000.00","60,000.00",Communications Administration
008617,"BARASH, JOSHUA",PHOTOGRAPHERS SERVICES,"Photographers services as required.  Compensation not to exceed $20,000. per fiscal year.",A,profsvcs,07/07/2017,06/30/2020,0,,"60,000.00","60,000.00",Communications Administration
008618,"SETTLE, RICHARD E",PHOTOGRAPHERS SERVICES,"Photographers services as required.  Compensation not to exceed $20,000. per fiscal year.",A,profsvcs,07/07/2017,06/30/2020,0,,"60,000.00","60,000.00",Communications Administration
008619,WE ARE VISION INC,PHOTOGRAPHERS SERVICES,"Photographers services as required.  Not to exceed $20,000. per fiscal year.",A,profsvcs,07/07/2017,06/30/2020,0,,"60,000.00","60,000.00",Communications Administration
008620,"TSUJI, JEFF",PHOTOGRAPHERS SERVICES,"For photographers services as required.   Not to exceed $20,000. per fiscal year.",A,profsvcs,07/07/2017,06/30/2020,0,,"60,000.00","60,000.00",Communications Administration
008621,"MARK, JOEL H",PHOTOGRAPHERS SERVICES,"Photograhers services as required.  Compensation not to exceed $20,000. per fiscal year.",A,profsvcs,07/07/2017,06/30/2020,0,,"60,000.00","60,000.00",Communications Administration
008622,WE ARE VISION INC,VIDEOGRAPHERS SERVICES,"For videographers services as required.  Compensation not to exceed $20,000. per fiscal year.
(Note: vendor is also under contract for photographers services under contract #8619)",A,profsvcs,07/07/2017,06/30/2020,0,,"60,000.00","60,000.00",Communications Administration
008623,GEAR 6 PRODUCTIONS LLC,VIDEOGRAPHERS SERVICES,"Videographers services as required.  Compensation not to exceed $20,000. per fiscal year.",A,profsvcs,07/07/2017,06/30/2020,0,,"60,000.00","60,000.00",Communications Administration
008629,MELTWATER NEWS US INC,MEDIA MONITORING AND MEDIA SUBSCRIPTION,Media monitoring and media database services subscription.,A,web/tech,07/10/2017,06/30/2020,2,05/20/2019,"12,000.00","36,000.00",Communications Administration
008632,VERYNICE,GRAPHIC DESIGN AS NEEDED,Graphic design services as needed.,A,graphic&pr,07/12/2017,06/30/2020,0,,"60,000.00","60,000.00",Communications Administration
008633,PLASTIC PALM TREE INC,GRAPHIC DESIGN SERVICES AS NEEDED,Graphic design services as needed.,A,graphic&pr,07/12/2017,06/30/2020,0,,"60,000.00","60,000.00",Communications Administration
008634,"VOLOVIK, OLEG",PHOTOGRAPHERS SERVICES AS NEEDED,Photographers services as needed.  (Vendor has simultaneous contract for graphic design services see contract #8637),A,profsvcs,07/12/2017,06/30/2020,0,,"60,000.00","60,000.00",Communications Administration
008635,"POULOS, RIKKI",GRAPHIC DESIGN SERVICES AS NEEDED,Graphic design services as needed.,A,graphic&pr,07/12/2017,06/30/2020,0,,"60,000.00","60,000.00",Communications Administration
008636,"HASUNUMA, SHILTON J",GRAPHIC DESIGN SERVICES AS NEEDED,Graphic design services as needed.,A,graphic&pr,07/12/2017,06/30/2020,0,,"60,000.00","60,000.00",Communications Administration
008637,"VOLOVIK, OLEG",GRAPHIC DESIGN SERVICES AS NEEDED,Graphic design services as needed.  (Note:  vendor has simultaneous agmt for photography services under contract #8634),A,graphic&pr,07/12/2017,06/30/2020,0,,"60,000.00","60,000.00",Communications Administration
008638,GOLDEN DESIGN STUDIO INC,GRAPHIC DESIGN SERVICES AS NEEDED,Graphic design services as needed.,A,graphic&pr,07/12/2017,06/30/2020,0,,"60,000.00","60,000.00",Communications Administration
008639,YES DESIGN GROUP INC,GRAPHIC DESIGN SERVICES AS NEEDED,Graphic design services as needed,A,graphic&pr,07/12/2017,06/30/2020,0,,"60,000.00","60,000.00",Communications Administration
008640,JOVENVILLE LLC,GRAPHIC DESIGN SERVICES AS NEEDED,Graphic design services as needed.,A,graphic&pr,07/12/2017,06/30/2020,0,,"60,000.00","60,000.00",Communications Administration
008641,"KULOV, D",GRAPHIC DESIGN SERVICES AS NEEDED,Graphic design services as needed.,A,graphic&pr,07/12/2017,06/30/2020,0,,"60,000.00","60,000.00",Communications Administration
008647,SELBERT PERKINS DESIGN INC,GRAPHIC DESIGN SERVICES AS NEEDED,Graphic design services as needed.,A,graphic&pr,07/13/2017,06/30/2020,0,,"105,000.00","105,000.00",Communications Administration
008648,RUBEN ESPARZA DESIGN,GRAPHIC DESIGN SERVICES AS NEEDED,Graphic design services as needed.,A,graphic&pr,07/13/2017,06/30/2020,0,,"105,000.00","105,000.00",Communications Administration
008649,"TAN, CYNTHIA D",GRAPHIC DESIGN AS NEEDED,Graphic design as needed.,A,graphic&pr,07/13/2017,06/30/2020,0,,"105,000.00","105,000.00",Communications Administration
008650,VISCOTT LIMITED,VIDEOGRAPHER SERVICES AS NEEDED,Videographers services as needed.  (Note: This vendor has a simultaneous contract for photographers services under contract #8614.),A,profsvcs,07/13/2017,06/30/2020,0,,"105,000.00","105,000.00",Communications Administration
008651,ZOO CREW PRODUCTIONS INC,VIDEOGRAPHERS SERVICES AS NEEDED,Videographers services as needed.,A,profsvcs,07/13/2017,06/30/2020,0,,"105,000.00","105,000.00",Communications Administration
008652,"O'KEEFFE, KAIN",VIDEOGRAPHERS SERVICES AS NEEDED,Videographers services as needed.,A,profsvcs,07/13/2017,06/30/2020,0,,"105,000.00","105,000.00",Communications Administration
008653,KILTER LA,GRAPHIC DESIGN SERVICES AS NEEDED,Graphic design services as needed,A,graphic&pr,07/13/2017,06/30/2020,0,,"105,000.00","105,000.00",Communications Administration
008654,DESIGNED BY COLLEEN LLC,GRAPHIC DESIGN SERVICES AS NEEDED,Graphic design services as needed.,A,graphic&pr,07/13/2017,06/30/2020,0,,"105,000.00","105,000.00",Communications Administration
008655,"MARTORANA, DAMIAN",VIDEOGRAPHY SERVICES AS NEEDED,Videography services as needed.,A,profsvcs,07/13/2017,06/30/2020,0,,"60,000.00","60,000.00",Communications Administration
008662,DISABILITY COMMUNITY RESOURCE,GRANT FOR HOME SECURE PROGRAM,"Grant for Home Secure Program.  Pooled funding source, expenditures not to exceed $12,500. in six month period, $25,000. per year. $50,000. over contract 2 year term.",A,grants,07/19/2017,09/30/2019,2,06/18/2019,"50,000.00","50,000.00",Rent Stabilization & Housing
008670,"RODRIGUEZ, ASHER",VIDEO NEWS REPORTING SERVICES,Video news reporting services on WeHo TV,A,profsvcs,07/25/2017,06/30/2020,2,05/28/2019,"20,000.00","20,000.00",Communications Administration
008686,KING VALET PARKING INC,PARKING MITIGATION DURING WH PARK CONSTRUCTION,Construction mitigation parking services for WH Park Phase II.,A,profsvcs,08/15/2017,12/31/2020,1,06/26/2019,"15,000.00","15,000.00",Parking
008691,"ROSS, BRIAN L",STORAGE FOR BULLWINKLE SCULPTURE,Storage for Bullwinkle sculpture.,A,profsvcs,08/18/2017,12/31/2019,3,05/16/2019,"4,621.00","11,905.00",Arts
008692,SYMBLAZE INC,BRAND DEVELOPMENT & MARKETING FOR THE PICKUP,Marketing and brand development services for the The Pickup.,A,profsvcs,08/23/2017,07/31/2020,4,07/18/2019,"85,500.00","245,500.00",Social Services
